Change component parameters: Designator = "U14" ("U14"); Footprint = "SOIC-8-208mil"; UniqueID = "\CSBNVFIP" ("\CSBNVFIP")
Change component parameters (AddParameter): Name = "–Õ∫≈"; Value = "AT45DB642D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "∑‚◊∞"; Value = "SO8-W"; VariantName = "[No Variations]"
Change component parameters: Designator = "X1" ("X1"); Footprint = "OSC HC-49SMD"; UniqueID = "\MVTCKWFL" ("\MVTCKWFL")
Change component parameters (AddParameter): Name = "BOM√˚≥∆"; Value = "2Ω≈Œﬁ‘¥Ω≈æß’Ò"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "—ßœ∞◊ ‘¥"; Value = "www.ooocke.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "∞Ê»®πÈ Ù"; Value = "‘¥¥¥øÕ"; VariantName = "[No Variations]"
Change component parameters: Designator = "X2" ("X2"); Footprint = "OSC HC-49SMD"; UniqueID = "\EROTADVV" ("\EROTADVV")
Change component parameters (AddParameter): Name = "BOM√˚≥∆"; Value = "2Ω≈Œﬁ‘¥Ω≈æß’Ò"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "—ßœ∞◊ ‘¥"; Value = "www.ooocke.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "∞Ê»®πÈ Ù"; Value = "‘¥¥¥øÕ"; VariantName = "[No Variations]"
Change component parameters: Designator = "J1" ("J1"); Footprint = "15EDG3.81-WI-2P"; UniqueID = "\TDBXSMHY" ("\TDBXSMHY")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "J2" ("J2"); Footprint = "XH2.54-LI-5P"; UniqueID = "\HXLUQLOB" ("\HXLUQLOB")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "J3" ("J3"); Footprint = "15EDG3.81-WI-3P"; UniqueID = "\TBOTOWFS" ("\TBOTOWFS")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "J4" ("J4"); Footprint = "HDR2X1_A"; UniqueID = "\FWNYUCAI" ("\FWNYUCAI")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "J5" ("J5"); Footprint = "15EDG3.81-WI-3P"; UniqueID = "\YXJEDEUV" ("\YXJEDEUV")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "J6" ("J6"); Footprint = "15EDG3.81-WI-2P"; UniqueID = "\LMKCFDLV" ("\LMKCFDLV")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "J7" ("J7"); Footprint = "HDR2X1_A"; UniqueID = "\PXIQFHCB" ("\PXIQFHCB")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "J8" ("J8"); Footprint = "15EDG3.81-WI-9P"; UniqueID = "\YFBZLHQN" ("\YFBZLHQN")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
